tenant_slug,family_slug,product_slug,product_name,tagline,summary,status,screen_size_inches,resolution,aspect_ratio,brightness_cd_m2,weight_kg,inputs,hero_image_url,thumbnail_url,buy_now_notes
crystal-prompter,cue-series,cue24,Cue 24,Professional broadcasting teleprompter,Professional 23.8-inch teleprompter for broadcasting online lectures presentations and video production,published,23.8,1920 x 1080,16:9,1000,11.31,"HDMI,DVI,DP",https://example.com/cue24-hero.png,https://example.com/cue24-thumb.png,Electric pedestal sold separately
crystal-prompter,clone-series,clone16,Clone 16,Portable professional teleprompter,Portable foldable teleprompter for broadcasting in-house studios cable TV and creators,published,15.6,1920 x 1080,16:9,500,6.73,HDMI,https://example.com/clone16-hero.png,https://example.com/clone16-thumb.png,Includes hard case
